sottoarea,abitanti,min_distanza,densita,prodotto,data,giorno_della_settimana,giorno_del_mese,giorno_dell_anno,settimana_dell_anno,mese,anno,festivo,vendite
89,974074,2069,3,1,2014-01-01,3,1,1,1,1,2014,1,0
89,974074,2069,3,1,2014-01-02,4,2,2,1,1,2014,0,1
89,974074,2069,3,1,2014-01-03,5,3,3,1,1,2014,0,1
89,974074,2069,3,1,2014-01-04,6,4,4,1,1,2014,1,1
89,974074,2069,3,1,2014-01-05,7,5,5,2,1,2014,1,0
89,974074,2069,3,1,2014-01-06,1,6,6,2,1,2014,1,0
89,974074,2069,3,1,2014-01-07,2,7,7,2,1,2014,0,1
89,974074,2069,3,1,2014-01-08,3,8,8,2,1,2014,0,4
89,974074,2069,3,1,2014-01-09,4,9,9,2,1,2014,0,3
89,974074,2069,3,1,2014-01-10,5,10,10,2,1,2014,0,3
89,974074,2069,3,1,2014-01-11,6,11,11,2,1,2014,1,1
89,974074,2069,3,1,2014-01-12,7,12,12,3,1,2014,1,1
89,974074,2069,3,1,2014-01-13,1,13,13,3,1,2014,0,2
89,974074,2069,3,1,2014-01-14,2,14,14,3,1,2014,0,3
89,974074,2069,3,1,2014-01-15,3,15,15,3,1,2014,0,4
89,974074,2069,3,1,2014-01-16,4,16,16,3,1,2014,0,4
89,974074,2069,3,1,2014-01-17,5,17,17,3,1,2014,0,4
89,974074,2069,3,1,2014-01-18,6,18,18,3,1,2014,1,1
89,974074,2069,3,1,2014-01-19,7,19,19,4,1,2014,1,1
89,974074,2069,3,1,2014-01-20,1,20,20,4,1,2014,0,2
89,974074,2069,3,1,2014-01-21,2,21,21,4,1,2014,0,5
89,974074,2069,3,1,2014-01-22,3,22,22,4,1,2014,0,3
89,974074,2069,3,1,2014-01-23,4,23,23,4,1,2014,0,3
89,974074,2069,3,1,2014-01-24,5,24,24,4,1,2014,0,2
89,974074,2069,3,1,2014-01-25,6,25,25,4,1,2014,1,1
89,974074,2069,3,1,2014-01-26,7,26,26,5,1,2014,1,0
89,974074,2069,3,1,2014-01-27,1,27,27,5,1,2014,0,2
89,974074,2069,3,1,2014-01-28,2,28,28,5,1,2014,0,3
89,974074,2069,3,1,2014-01-29,3,29,29,5,1,2014,0,2
89,974074,2069,3,1,2014-01-30,4,30,30,5,1,2014,0,4
89,974074,2069,3,1,2014-01-31,5,31,31,5,1,2014,0,3
89,974074,2069,3,1,2014-02-01,6,1,32,5,2,2014,1,1
89,974074,2069,3,1,2014-02-02,7,2,33,6,2,2014,1,0
89,974074,2069,3,1,2014-02-03,1,3,34,6,2,2014,0,2
89,974074,2069,3,1,2014-02-04,2,4,35,6,2,2014,0,3
89,974074,2069,3,1,2014-02-05,3,5,36,6,2,2014,0,2
89,974074,2069,3,1,2014-02-06,4,6,37,6,2,2014,0,4
89,974074,2069,3,1,2014-02-07,5,7,38,6,2,2014,0,3
89,974074,2069,3,1,2014-02-08,6,8,39,6,2,2014,1,2
89,974074,2069,3,1,2014-02-09,7,9,40,7,2,2014,1,0
89,974074,2069,3,1,2014-02-10,1,10,41,7,2,2014,0,2
89,974074,2069,3,1,2014-02-11,2,11,42,7,2,2014,0,4
89,974074,2069,3,1,2014-02-12,3,12,43,7,2,2014,0,2
89,974074,2069,3,1,2014-02-13,4,13,44,7,2,2014,0,2
89,974074,2069,3,1,2014-02-14,5,14,45,7,2,2014,0,3
89,974074,2069,3,1,2014-02-15,6,15,46,7,2,2014,1,2
89,974074,2069,3,1,2014-02-16,7,16,47,8,2,2014,1,0
89,974074,2069,3,1,2014-02-17,1,17,48,8,2,2014,0,3
89,974074,2069,3,1,2014-02-18,2,18,49,8,2,2014,0,4
89,974074,2069,3,1,2014-02-19,3,19,50,8,2,2014,0,3
89,974074,2069,3,1,2014-02-20,4,20,51,8,2,2014,0,3
89,974074,2069,3,1,2014-02-21,5,21,52,8,2,2014,0,3
89,974074,2069,3,1,2014-02-22,6,22,53,8,2,2014,1,0
89,974074,2069,3,1,2014-02-23,7,23,54,9,2,2014,1,1
89,974074,2069,3,1,2014-02-24,1,24,55,9,2,2014,0,2
89,974074,2069,3,1,2014-02-25,2,25,56,9,2,2014,0,3
89,974074,2069,3,1,2014-02-26,3,26,57,9,2,2014,0,1
89,974074,2069,3,1,2014-02-27,4,27,58,9,2,2014,0,3
89,974074,2069,3,1,2014-02-28,5,28,59,9,2,2014,0,2
89,974074,2069,3,1,2014-03-01,6,1,60,9,3,2014,1,2
89,974074,2069,3,1,2014-03-02,7,2,61,10,3,2014,1,0
89,974074,2069,3,1,2014-03-03,1,3,62,10,3,2014,0,2
89,974074,2069,3,1,2014-03-04,2,4,63,10,3,2014,0,3
89,974074,2069,3,1,2014-03-05,3,5,64,10,3,2014,0,3
89,974074,2069,3,1,2014-03-06,4,6,65,10,3,2014,0,4
89,974074,2069,3,1,2014-03-07,5,7,66,10,3,2014,0,2
89,974074,2069,3,1,2014-03-08,6,8,67,10,3,2014,1,2
89,974074,2069,3,1,2014-03-09,7,9,68,11,3,2014,1,0
89,974074,2069,3,1,2014-03-10,1,10,69,11,3,2014,0,2
89,974074,2069,3,1,2014-03-11,2,11,70,11,3,2014,0,3
89,974074,2069,3,1,2014-03-12,3,12,71,11,3,2014,0,3
89,974074,2069,3,1,2014-03-13,4,13,72,11,3,2014,0,2
89,974074,2069,3,1,2014-03-14,5,14,73,11,3,2014,0,3
89,974074,2069,3,1,2014-03-15,6,15,74,11,3,2014,1,1
89,974074,2069,3,1,2014-03-16,7,16,75,12,3,2014,1,0
89,974074,2069,3,1,2014-03-17,1,17,76,12,3,2014,0,2
89,974074,2069,3,1,2014-03-18,2,18,77,12,3,2014,0,3
89,974074,2069,3,1,2014-03-19,3,19,78,12,3,2014,0,0
89,974074,2069,3,1,2014-03-20,4,20,79,12,3,2014,0,0
89,974074,2069,3,1,2014-03-21,5,21,80,12,3,2014,0,0
89,974074,2069,3,1,2014-03-22,6,22,81,12,3,2014,1,0
89,974074,2069,3,1,2014-03-23,7,23,82,13,3,2014,1,0
89,974074,2069,3,1,2014-03-24,1,24,83,13,3,2014,0,0
89,974074,2069,3,1,2014-03-25,2,25,84,13,3,2014,0,0
89,974074,2069,3,1,2014-03-26,3,26,85,13,3,2014,0,4
89,974074,2069,3,1,2014-03-27,4,27,86,13,3,2014,0,2
89,974074,2069,3,1,2014-03-28,5,28,87,13,3,2014,0,3
89,974074,2069,3,1,2014-03-29,6,29,88,13,3,2014,1,0
89,974074,2069,3,1,2014-03-30,7,30,89,14,3,2014,1,2
89,974074,2069,3,1,2014-03-31,1,31,90,14,3,2014,0,2
89,974074,2069,3,1,2014-04-01,2,1,91,14,4,2014,0,1
89,974074,2069,3,1,2014-04-02,3,2,92,14,4,2014,0,3
89,974074,2069,3,1,2014-04-03,4,3,93,14,4,2014,0,2
89,974074,2069,3,1,2014-04-04,5,4,94,14,4,2014,0,1
89,974074,2069,3,1,2014-04-05,6,5,95,14,4,2014,1,0
89,974074,2069,3,1,2014-04-06,7,6,96,15,4,2014,1,0
89,974074,2069,3,1,2014-04-07,1,7,97,15,4,2014,0,1
89,974074,2069,3,1,2014-04-08,2,8,98,15,4,2014,0,2
89,974074,2069,3,1,2014-04-09,3,9,99,15,4,2014,0,6
89,974074,2069,3,1,2014-04-10,4,10,100,15,4,2014,0,2
89,974074,2069,3,1,2014-04-11,5,11,101,15,4,2014,0,2
89,974074,2069,3,1,2014-04-12,6,12,102,15,4,2014,1,1
89,974074,2069,3,1,2014-04-13,7,13,103,16,4,2014,1,3
89,974074,2069,3,1,2014-04-14,1,14,104,16,4,2014,0,2
89,974074,2069,3,1,2014-04-15,2,15,105,16,4,2014,0,1
89,974074,2069,3,1,2014-04-16,3,16,106,16,4,2014,0,2
89,974074,2069,3,1,2014-04-17,4,17,107,16,4,2014,0,1
89,974074,2069,3,1,2014-04-18,5,18,108,16,4,2014,0,6
89,974074,2069,3,1,2014-04-19,6,19,109,16,4,2014,1,0
89,974074,2069,3,1,2014-04-20,7,20,110,17,4,2014,1,0
89,974074,2069,3,1,2014-04-21,1,21,111,17,4,2014,1,0
89,974074,2069,3,1,2014-04-22,2,22,112,17,4,2014,0,3
89,974074,2069,3,1,2014-04-23,3,23,113,17,4,2014,0,2
89,974074,2069,3,1,2014-04-24,4,24,114,17,4,2014,0,2
89,974074,2069,3,1,2014-04-25,5,25,115,17,4,2014,1,0
89,974074,2069,3,1,2014-04-26,6,26,116,17,4,2014,1,0
89,974074,2069,3,1,2014-04-27,7,27,117,18,4,2014,1,0
89,974074,2069,3,1,2014-04-28,1,28,118,18,4,2014,0,3
89,974074,2069,3,1,2014-04-29,2,29,119,18,4,2014,0,2
89,974074,2069,3,1,2014-04-30,3,30,120,18,4,2014,0,1
89,974074,2069,3,1,2014-05-01,4,1,121,18,5,2014,1,2
89,974074,2069,3,1,2014-05-02,5,2,122,18,5,2014,0,1
89,974074,2069,3,1,2014-05-03,6,3,123,18,5,2014,1,0
89,974074,2069,3,1,2014-05-04,7,4,124,19,5,2014,1,0
89,974074,2069,3,1,2014-05-05,1,5,125,19,5,2014,0,1
89,974074,2069,3,1,2014-05-06,2,6,126,19,5,2014,0,2
89,974074,2069,3,1,2014-05-07,3,7,127,19,5,2014,0,1
89,974074,2069,3,1,2014-05-08,4,8,128,19,5,2014,0,2
89,974074,2069,3,1,2014-05-09,5,9,129,19,5,2014,0,1
89,974074,2069,3,1,2014-05-10,6,10,130,19,5,2014,1,0
89,974074,2069,3,1,2014-05-11,7,11,131,20,5,2014,1,9
89,974074,2069,3,1,2014-05-12,1,12,132,20,5,2014,0,2
89,974074,2069,3,1,2014-05-13,2,13,133,20,5,2014,0,1
89,974074,2069,3,1,2014-05-14,3,14,134,20,5,2014,0,2
89,974074,2069,3,1,2014-05-15,4,15,135,20,5,2014,0,2
89,974074,2069,3,1,2014-05-16,5,16,136,20,5,2014,0,2
89,974074,2069,3,1,2014-05-17,6,17,137,20,5,2014,1,0
89,974074,2069,3,1,2014-05-18,7,18,138,21,5,2014,1,0
89,974074,2069,3,1,2014-05-19,1,19,139,21,5,2014,0,1
89,974074,2069,3,1,2014-05-20,2,20,140,21,5,2014,0,2
89,974074,2069,3,1,2014-05-21,3,21,141,21,5,2014,0,1
89,974074,2069,3,1,2014-05-22,4,22,142,21,5,2014,0,2
89,974074,2069,3,1,2014-05-23,5,23,143,21,5,2014,0,1
89,974074,2069,3,1,2014-05-24,6,24,144,21,5,2014,1,0
89,974074,2069,3,1,2014-05-25,7,25,145,22,5,2014,1,0
89,974074,2069,3,1,2014-05-26,1,26,146,22,5,2014,0,2
89,974074,2069,3,1,2014-05-27,2,27,147,22,5,2014,0,1
89,974074,2069,3,1,2014-05-28,3,28,148,22,5,2014,0,1
89,974074,2069,3,1,2014-05-29,4,29,149,22,5,2014,0,2
89,974074,2069,3,1,2014-05-30,5,30,150,22,5,2014,0,2
89,974074,2069,3,1,2014-05-31,6,31,151,22,5,2014,1,1
89,974074,2069,3,1,2014-06-01,7,1,152,23,6,2014,1,0
89,974074,2069,3,1,2014-06-02,1,2,153,23,6,2014,1,0
89,974074,2069,3,1,2014-06-03,2,3,154,23,6,2014,0,2
89,974074,2069,3,1,2014-06-04,3,4,155,23,6,2014,0,2
89,974074,2069,3,1,2014-06-05,4,5,156,23,6,2014,0,1
89,974074,2069,3,1,2014-06-06,5,6,157,23,6,2014,0,1
89,974074,2069,3,1,2014-06-07,6,7,158,23,6,2014,1,0
89,974074,2069,3,1,2014-06-08,7,8,159,24,6,2014,1,0
89,974074,2069,3,1,2014-06-09,1,9,160,24,6,2014,0,2
89,974074,2069,3,1,2014-06-10,2,10,161,24,6,2014,0,2
89,974074,2069,3,1,2014-06-11,3,11,162,24,6,2014,0,2
89,974074,2069,3,1,2014-06-12,4,12,163,24,6,2014,0,4
89,974074,2069,3,1,2014-06-13,5,13,164,24,6,2014,0,1
89,974074,2069,3,1,2014-06-14,6,14,165,24,6,2014,1,2
89,974074,2069,3,1,2014-06-15,7,15,166,25,6,2014,1,0
89,974074,2069,3,1,2014-06-16,1,16,167,25,6,2014,0,2
89,974074,2069,3,1,2014-06-17,2,17,168,25,6,2014,0,1
89,974074,2069,3,1,2014-06-18,3,18,169,25,6,2014,0,2
89,974074,2069,3,1,2014-06-19,4,19,170,25,6,2014,0,1
89,974074,2069,3,1,2014-06-20,5,20,171,25,6,2014,0,2
89,974074,2069,3,1,2014-06-21,6,21,172,25,6,2014,1,2
89,974074,2069,3,1,2014-06-22,7,22,173,26,6,2014,1,2
89,974074,2069,3,1,2014-06-23,1,23,174,26,6,2014,0,1
89,974074,2069,3,1,2014-06-24,2,24,175,26,6,2014,0,3
89,974074,2069,3,1,2014-06-25,3,25,176,26,6,2014,0,2
89,974074,2069,3,1,2014-06-26,4,26,177,26,6,2014,0,2
89,974074,2069,3,1,2014-06-27,5,27,178,26,6,2014,0,2
89,974074,2069,3,1,2014-06-28,6,28,179,26,6,2014,1,2
89,974074,2069,3,1,2014-06-29,7,29,180,27,6,2014,1,1
89,974074,2069,3,1,2014-06-30,1,30,181,27,6,2014,0,9
89,974074,2069,3,1,2014-07-01,2,1,182,27,7,2014,0,2
89,974074,2069,3,1,2014-07-02,3,2,183,27,7,2014,0,2
89,974074,2069,3,1,2014-07-03,4,3,184,27,7,2014,0,4
89,974074,2069,3,1,2014-07-04,5,4,185,27,7,2014,0,2
89,974074,2069,3,1,2014-07-05,6,5,186,27,7,2014,1,1
89,974074,2069,3,1,2014-07-06,7,6,187,28,7,2014,1,1
89,974074,2069,3,1,2014-07-07,1,7,188,28,7,2014,0,3
89,974074,2069,3,1,2014-07-08,2,8,189,28,7,2014,0,2
89,974074,2069,3,1,2014-07-09,3,9,190,28,7,2014,0,2
89,974074,2069,3,1,2014-07-10,4,10,191,28,7,2014,0,2
89,974074,2069,3,1,2014-07-11,5,11,192,28,7,2014,0,3
89,974074,2069,3,1,2014-07-12,6,12,193,28,7,2014,1,2
89,974074,2069,3,1,2014-07-13,7,13,194,29,7,2014,1,0
89,974074,2069,3,1,2014-07-14,1,14,195,29,7,2014,0,2
89,974074,2069,3,1,2014-07-15,2,15,196,29,7,2014,0,1
89,974074,2069,3,1,2014-07-16,3,16,197,29,7,2014,0,2
89,974074,2069,3,1,2014-07-17,4,17,198,29,7,2014,0,2
89,974074,2069,3,1,2014-07-18,5,18,199,29,7,2014,0,2
89,974074,2069,3,1,2014-07-19,6,19,200,29,7,2014,1,0
89,974074,2069,3,1,2014-07-20,7,20,201,30,7,2014,1,1
89,974074,2069,3,1,2014-07-21,1,21,202,30,7,2014,0,2
89,974074,2069,3,1,2014-07-22,2,22,203,30,7,2014,0,2
89,974074,2069,3,1,2014-07-23,3,23,204,30,7,2014,0,2
89,974074,2069,3,1,2014-07-24,4,24,205,30,7,2014,0,3
89,974074,2069,3,1,2014-07-25,5,25,206,30,7,2014,0,2
89,974074,2069,3,1,2014-07-26,6,26,207,30,7,2014,1,1
89,974074,2069,3,1,2014-07-27,7,27,208,31,7,2014,1,1
89,974074,2069,3,1,2014-07-28,1,28,209,31,7,2014,0,2
89,974074,2069,3,1,2014-07-29,2,29,210,31,7,2014,0,3
89,974074,2069,3,1,2014-07-30,3,30,211,31,7,2014,0,3
89,974074,2069,3,1,2014-07-31,4,31,212,31,7,2014,0,1
89,974074,2069,3,1,2014-08-01,5,1,213,31,8,2014,0,2
89,974074,2069,3,1,2014-08-02,6,2,214,31,8,2014,1,1
89,974074,2069,3,1,2014-08-03,7,3,215,32,8,2014,1,0
89,974074,2069,3,1,2014-08-04,1,4,216,32,8,2014,0,2
89,974074,2069,3,1,2014-08-05,2,5,217,32,8,2014,0,2
89,974074,2069,3,1,2014-08-06,3,6,218,32,8,2014,0,2
89,974074,2069,3,1,2014-08-07,4,7,219,32,8,2014,0,2
89,974074,2069,3,1,2014-08-08,5,8,220,32,8,2014,0,2
89,974074,2069,3,1,2014-08-09,6,9,221,32,8,2014,1,1
89,974074,2069,3,1,2014-08-10,7,10,222,33,8,2014,1,0
89,974074,2069,3,1,2014-08-11,1,11,223,33,8,2014,0,2
89,974074,2069,3,1,2014-08-12,2,12,224,33,8,2014,0,2
89,974074,2069,3,1,2014-08-13,3,13,225,33,8,2014,0,2
89,974074,2069,3,1,2014-08-14,4,14,226,33,8,2014,0,2
89,974074,2069,3,1,2014-08-15,5,15,227,33,8,2014,1,0
89,974074,2069,3,1,2014-08-16,6,16,228,33,8,2014,1,0
89,974074,2069,3,1,2014-08-17,7,17,229,34,8,2014,1,0
89,974074,2069,3,1,2014-08-18,1,18,230,34,8,2014,0,1
89,974074,2069,3,1,2014-08-19,2,19,231,34,8,2014,0,1
89,974074,2069,3,1,2014-08-20,3,20,232,34,8,2014,0,1
89,974074,2069,3,1,2014-08-21,4,21,233,34,8,2014,0,1
89,974074,2069,3,1,2014-08-22,5,22,234,34,8,2014,0,1
89,974074,2069,3,1,2014-08-23,6,23,235,34,8,2014,1,0
89,974074,2069,3,1,2014-08-24,7,24,236,35,8,2014,1,0
89,974074,2069,3,1,2014-08-25,1,25,237,35,8,2014,0,2
89,974074,2069,3,1,2014-08-26,2,26,238,35,8,2014,0,2
89,974074,2069,3,1,2014-08-27,3,27,239,35,8,2014,0,2
89,974074,2069,3,1,2014-08-28,4,28,240,35,8,2014,0,2
89,974074,2069,3,1,2014-08-29,5,29,241,35,8,2014,0,1
89,974074,2069,3,1,2014-08-30,6,30,242,35,8,2014,1,0
89,974074,2069,3,1,2014-08-31,7,31,243,36,8,2014,1,0
89,974074,2069,3,1,2014-09-01,1,1,244,36,9,2014,0,2
89,974074,2069,3,1,2014-09-02,2,2,245,36,9,2014,0,2
89,974074,2069,3,1,2014-09-03,3,3,246,36,9,2014,0,2
89,974074,2069,3,1,2014-09-04,4,4,247,36,9,2014,0,4
89,974074,2069,3,1,2014-09-05,5,5,248,36,9,2014,0,3
89,974074,2069,3,1,2014-09-06,6,6,249,36,9,2014,1,2
89,974074,2069,3,1,2014-09-07,7,7,250,37,9,2014,1,0
89,974074,2069,3,1,2014-09-08,1,8,251,37,9,2014,0,3
89,974074,2069,3,1,2014-09-09,2,9,252,37,9,2014,0,3
89,974074,2069,3,1,2014-09-10,3,10,253,37,9,2014,0,2
89,974074,2069,3,1,2014-09-11,4,11,254,37,9,2014,0,3
89,974074,2069,3,1,2014-09-12,5,12,255,37,9,2014,0,3
89,974074,2069,3,1,2014-09-13,6,13,256,37,9,2014,1,2
89,974074,2069,3,1,2014-09-14,7,14,257,38,9,2014,1,1
89,974074,2069,3,1,2014-09-15,1,15,258,38,9,2014,0,2
89,974074,2069,3,1,2014-09-16,2,16,259,38,9,2014,0,2
89,974074,2069,3,1,2014-09-17,3,17,260,38,9,2014,0,3
89,974074,2069,3,1,2014-09-18,4,18,261,38,9,2014,0,3
89,974074,2069,3,1,2014-09-19,5,19,262,38,9,2014,0,3
89,974074,2069,3,1,2014-09-20,6,20,263,38,9,2014,1,1
89,974074,2069,3,1,2014-09-21,7,21,264,39,9,2014,1,0
89,974074,2069,3,1,2014-09-22,1,22,265,39,9,2014,0,2
89,974074,2069,3,1,2014-09-23,2,23,266,39,9,2014,0,2
89,974074,2069,3,1,2014-09-24,3,24,267,39,9,2014,0,3
89,974074,2069,3,1,2014-09-25,4,25,268,39,9,2014,0,2
89,974074,2069,3,1,2014-09-26,5,26,269,39,9,2014,0,3
89,974074,2069,3,1,2014-09-27,6,27,270,39,9,2014,1,1
89,974074,2069,3,1,2014-09-28,7,28,271,40,9,2014,1,0
89,974074,2069,3,1,2014-09-29,1,29,272,40,9,2014,0,3
89,974074,2069,3,1,2014-09-30,2,30,273,40,9,2014,0,3
89,974074,2069,3,1,2014-10-01,3,1,274,40,10,2014,0,2
89,974074,2069,3,1,2014-10-02,4,2,275,40,10,2014,0,2
89,974074,2069,3,1,2014-10-03,5,3,276,40,10,2014,0,3
89,974074,2069,3,1,2014-10-04,6,4,277,40,10,2014,1,1
89,974074,2069,3,1,2014-10-05,7,5,278,41,10,2014,1,0
89,974074,2069,3,1,2014-10-06,1,6,279,41,10,2014,0,2
89,974074,2069,3,1,2014-10-07,2,7,280,41,10,2014,0,3
89,974074,2069,3,1,2014-10-08,3,8,281,41,10,2014,0,2
89,974074,2069,3,1,2014-10-09,4,9,282,41,10,2014,0,4
89,974074,2069,3,1,2014-10-10,5,10,283,41,10,2014,0,3
89,974074,2069,3,1,2014-10-11,6,11,284,41,10,2014,1,1
89,974074,2069,3,1,2014-10-12,7,12,285,42,10,2014,1,1
89,974074,2069,3,1,2014-10-13,1,13,286,42,10,2014,0,2
89,974074,2069,3,1,2014-10-14,2,14,287,42,10,2014,0,3
89,974074,2069,3,1,2014-10-15,3,15,288,42,10,2014,0,2
